Timestep,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,Cluster
0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
1,101.0,10.0,10.0,101.0,10.0,10.0,10.0,101.0,10.0,10.0,101.0,10.0,101.0,10.0,10.0,10.0,10.0,10.0,10.0,101.0,10.0,10.0,101.0,10.0,10.0,101.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,101.0,10.0,10.0,101.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0
2,201.0,10.0,10.0,201.0,10.0,10.0,10.0,201.0,10.0,10.0,201.0,10.0,201.0,10.0,10.0,10.0,10.0,10.0,10.0,201.0,10.0,10.0,201.0,10.0,10.0,201.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,201.0,10.0,10.0,201.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0
3,301.0,10.0,10.0,301.0,10.0,10.0,10.0,301.0,10.0,10.0,301.0,10.0,301.0,10.0,10.0,10.0,10.0,10.0,10.0,301.0,10.0,10.0,301.0,10.0,10.0,301.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,301.0,10.0,10.0,301.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0
4,401.0,10.0,10.0,401.0,10.0,10.0,10.0,401.0,10.0,10.0,401.0,10.0,401.0,10.0,10.0,10.0,10.0,10.0,10.0,401.0,10.0,10.0,401.0,10.0,10.0,401.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,401.0,10.0,10.0,401.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0
5,501.0,10.0,10.0,501.0,10.0,10.0,10.0,501.0,10.0,10.0,501.0,10.0,501.0,10.0,10.0,10.0,10.0,10.0,10.0,501.0,10.0,10.0,501.0,10.0,10.0,501.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,501.0,10.0,10.0,501.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0
6,601.0,10.0,10.0,601.0,10.0,10.0,10.0,601.0,10.0,10.0,601.0,10.0,601.0,10.0,10.0,10.0,10.0,10.0,10.0,601.0,10.0,10.0,601.0,10.0,10.0,601.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,601.0,10.0,10.0,601.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0
7,701.0,10.0,10.0,701.0,10.0,10.0,10.0,701.0,10.0,10.0,701.0,10.0,701.0,10.0,10.0,10.0,10.0,10.0,10.0,701.0,10.0,10.0,701.0,10.0,10.0,701.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,701.0,10.0,10.0,701.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0
8,801.0,10.0,10.0,801.0,10.0,10.0,10.0,801.0,10.0,10.0,801.0,10.0,801.0,10.0,10.0,10.0,10.0,10.0,10.0,801.0,10.0,10.0,801.0,10.0,10.0,801.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,801.0,10.0,10.0,801.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0
9,901.0,10.0,10.0,901.0,10.0,10.0,10.0,901.0,10.0,10.0,901.0,10.0,901.0,10.0,10.0,10.0,10.0,10.0,10.0,901.0,10.0,10.0,901.0,10.0,10.0,901.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,901.0,10.0,10.0,901.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0
10,1001.0,10.0,10.0,1001.0,10.0,10.0,10.0,1001.0,10.0,10.0,1001.0,10.0,1001.0,10.0,10.0,10.0,10.0,10.0,10.0,1001.0,10.0,10.0,1001.0,10.0,10.0,1001.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,1001.0,10.0,10.0,1001.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0
11,1101.0,10.0,10.0,1101.0,10.0,10.0,10.0,1101.0,10.0,10.0,1101.0,10.0,1101.0,10.0,10.0,10.0,10.0,10.0,10.0,1101.0,10.0,10.0,1101.0,10.0,10.0,1101.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,1101.0,10.0,10.0,1101.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0
12,1201.0,10.0,10.0,1201.0,10.0,10.0,10.0,1201.0,10.0,10.0,1201.0,10.0,1201.0,10.0,10.0,10.0,10.0,10.0,10.0,1201.0,10.0,10.0,1201.0,10.0,10.0,1201.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,1201.0,10.0,10.0,1201.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0
13,1301.0,10.0,10.0,1301.0,10.0,10.0,10.0,1301.0,10.0,10.0,1301.0,10.0,1301.0,10.0,10.0,10.0,10.0,10.0,10.0,1301.0,10.0,10.0,1301.0,10.0,10.0,1301.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,1301.0,10.0,10.0,1301.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0
14,1401.0,10.0,10.0,1401.0,10.0,10.0,10.0,1401.0,10.0,10.0,1401.0,10.0,1401.0,10.0,10.0,10.0,10.0,10.0,10.0,1401.0,10.0,10.0,1401.0,10.0,10.0,1401.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,1401.0,10.0,10.0,1401.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0
15,1501.0,10.0,10.0,1501.0,10.0,10.0,10.0,1501.0,10.0,10.0,1501.0,10.0,1501.0,10.0,10.0,10.0,10.0,10.0,10.0,1501.0,10.0,10.0,1501.0,10.0,10.0,1501.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,1501.0,10.0,10.0,1501.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0
16,1601.0,10.0,10.0,1601.0,10.0,10.0,10.0,1601.0,10.0,10.0,1601.0,10.0,1601.0,10.0,10.0,10.0,10.0,10.0,10.0,1601.0,10.0,10.0,1601.0,10.0,10.0,1601.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,1601.0,10.0,10.0,1601.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0
17,1701.0,10.0,10.0,1701.0,10.0,10.0,10.0,1701.0,10.0,10.0,1701.0,10.0,1701.0,10.0,10.0,10.0,10.0,10.0,10.0,1701.0,10.0,10.0,1701.0,10.0,10.0,1701.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,1701.0,10.0,10.0,1701.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0
18,1801.0,10.0,10.0,1801.0,10.0,10.0,10.0,1801.0,10.0,10.0,1801.0,10.0,1801.0,10.0,10.0,10.0,10.0,10.0,10.0,1801.0,10.0,10.0,1801.0,10.0,10.0,1801.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,1801.0,10.0,10.0,1801.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0
19,1901.0,10.0,10.0,1901.0,10.0,10.0,10.0,1901.0,10.0,10.0,1901.0,10.0,1901.0,10.0,10.0,10.0,10.0,10.0,10.0,1901.0,10.0,10.0,1901.0,10.0,10.0,1901.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,1901.0,10.0,10.0,1901.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0
20,2001.0,10.0,10.0,2001.0,10.0,10.0,10.0,2001.0,10.0,10.0,2001.0,10.0,2001.0,10.0,10.0,10.0,10.0,10.0,10.0,2001.0,10.0,10.0,2001.0,10.0,10.0,2001.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,2001.0,10.0,10.0,2001.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0
21,2101.0,10.0,10.0,2101.0,10.0,10.0,10.0,2101.0,10.0,10.0,2101.0,10.0,2101.0,10.0,10.0,10.0,10.0,10.0,10.0,2101.0,10.0,10.0,2101.0,10.0,10.0,2101.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,2101.0,10.0,10.0,2101.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0
22,2201.0,10.0,10.0,2201.0,10.0,10.0,10.0,2201.0,10.0,10.0,2201.0,10.0,2201.0,10.0,10.0,10.0,10.0,10.0,10.0,2201.0,10.0,10.0,2201.0,10.0,10.0,2201.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,2201.0,10.0,10.0,2201.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0
23,2301.0,10.0,10.0,2301.0,10.0,10.0,10.0,2301.0,10.0,10.0,2301.0,10.0,2301.0,10.0,10.0,10.0,10.0,10.0,10.0,2301.0,10.0,10.0,2301.0,10.0,10.0,2301.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,2301.0,10.0,10.0,2301.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0
24,2401.0,10.0,10.0,2401.0,10.0,10.0,10.0,2401.0,10.0,10.0,2401.0,10.0,2401.0,10.0,10.0,10.0,10.0,10.0,10.0,2401.0,10.0,10.0,2401.0,10.0,10.0,2401.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,2401.0,10.0,10.0,2401.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0
25,2501.0,10.0,10.0,2501.0,10.0,10.0,10.0,2501.0,10.0,10.0,2501.0,10.0,2501.0,10.0,10.0,10.0,10.0,10.0,10.0,2501.0,10.0,10.0,2501.0,10.0,10.0,2501.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,2501.0,10.0,10.0,2501.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0
26,2601.0,10.0,10.0,2601.0,10.0,10.0,10.0,2601.0,10.0,10.0,2601.0,10.0,2601.0,10.0,10.0,10.0,10.0,10.0,10.0,2601.0,10.0,10.0,2601.0,10.0,10.0,2601.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,2601.0,10.0,10.0,2601.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0
27,2701.0,10.0,10.0,2701.0,10.0,10.0,10.0,2701.0,10.0,10.0,2701.0,10.0,2701.0,10.0,10.0,10.0,10.0,10.0,10.0,2701.0,10.0,10.0,2701.0,10.0,10.0,2701.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,2701.0,10.0,10.0,2701.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0
28,2801.0,10.0,10.0,2801.0,10.0,10.0,10.0,2801.0,10.0,10.0,2801.0,10.0,2801.0,10.0,10.0,10.0,10.0,10.0,10.0,2801.0,10.0,10.0,2801.0,10.0,10.0,2801.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,2801.0,10.0,10.0,2801.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0
29,2901.0,10.0,10.0,2901.0,10.0,10.0,10.0,2901.0,10.0,10.0,2901.0,10.0,2901.0,10.0,10.0,10.0,10.0,10.0,10.0,2901.0,10.0,10.0,2901.0,10.0,10.0,2901.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,2901.0,10.0,10.0,2901.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0
30,3001.0,10.0,10.0,3001.0,10.0,10.0,10.0,3001.0,10.0,10.0,3001.0,10.0,3001.0,10.0,10.0,10.0,10.0,10.0,10.0,3001.0,10.0,10.0,3001.0,10.0,10.0,3001.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,3001.0,10.0,10.0,3001.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0
31,3101.0,10.0,10.0,3101.0,10.0,10.0,10.0,3101.0,10.0,10.0,3101.0,10.0,3101.0,10.0,10.0,10.0,10.0,10.0,10.0,3101.0,10.0,10.0,3101.0,10.0,10.0,3101.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,3101.0,10.0,10.0,3101.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0
32,3201.0,10.0,10.0,3201.0,10.0,10.0,10.0,3201.0,10.0,10.0,3201.0,10.0,3201.0,10.0,10.0,10.0,10.0,10.0,10.0,3201.0,10.0,10.0,3201.0,10.0,10.0,3201.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,3201.0,10.0,10.0,3201.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0
33,3301.0,10.0,10.0,3301.0,10.0,10.0,10.0,3301.0,10.0,10.0,3301.0,10.0,3301.0,10.0,10.0,10.0,10.0,10.0,10.0,3301.0,10.0,10.0,3301.0,10.0,10.0,3301.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,3301.0,10.0,10.0,3301.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0
34,3401.0,10.0,10.0,3401.0,10.0,10.0,10.0,3401.0,10.0,10.0,3401.0,10.0,3401.0,10.0,10.0,10.0,10.0,10.0,10.0,3401.0,10.0,10.0,3401.0,10.0,10.0,3401.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,3401.0,10.0,10.0,3401.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0
35,3501.0,10.0,10.0,3501.0,10.0,10.0,10.0,3501.0,10.0,10.0,3501.0,10.0,3501.0,10.0,10.0,10.0,10.0,10.0,10.0,3501.0,10.0,10.0,3501.0,10.0,10.0,3501.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,3501.0,10.0,10.0,3501.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0
36,3601.0,10.0,10.0,3601.0,10.0,10.0,10.0,3601.0,10.0,10.0,3601.0,10.0,3601.0,10.0,10.0,10.0,10.0,10.0,10.0,3601.0,10.0,10.0,3601.0,10.0,10.0,3601.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,3601.0,10.0,10.0,3601.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0
37,3701.0,10.0,10.0,3701.0,10.0,10.0,10.0,3701.0,10.0,10.0,3701.0,10.0,3701.0,10.0,10.0,10.0,10.0,10.0,10.0,3701.0,10.0,10.0,3701.0,10.0,10.0,3701.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,3701.0,10.0,10.0,3701.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0
38,3801.0,10.0,10.0,3801.0,10.0,10.0,10.0,3801.0,10.0,10.0,3801.0,10.0,3801.0,10.0,10.0,10.0,10.0,10.0,10.0,3801.0,10.0,10.0,3801.0,10.0,10.0,3801.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,3801.0,10.0,10.0,3801.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0
39,3901.0,10.0,10.0,3901.0,10.0,10.0,10.0,3901.0,10.0,10.0,3901.0,10.0,3901.0,10.0,10.0,10.0,10.0,10.0,10.0,3901.0,10.0,10.0,3901.0,10.0,10.0,3901.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,3901.0,10.0,10.0,3901.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0
40,4001.0,10.0,10.0,4001.0,10.0,10.0,10.0,4001.0,10.0,10.0,4001.0,10.0,4001.0,10.0,10.0,10.0,10.0,10.0,10.0,4001.0,10.0,10.0,4001.0,10.0,10.0,4001.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,4001.0,10.0,10.0,4001.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0
41,4101.0,10.0,10.0,4101.0,10.0,10.0,10.0,4101.0,10.0,10.0,4101.0,10.0,4101.0,10.0,10.0,10.0,10.0,10.0,10.0,4101.0,10.0,10.0,4101.0,10.0,10.0,4101.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,4101.0,10.0,10.0,4101.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0
42,4201.0,10.0,10.0,4201.0,10.0,10.0,10.0,4201.0,10.0,10.0,4201.0,10.0,4201.0,10.0,10.0,10.0,10.0,10.0,10.0,4201.0,10.0,10.0,4201.0,10.0,10.0,4201.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,4201.0,10.0,10.0,4201.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0
43,4301.0,10.0,10.0,4301.0,10.0,10.0,10.0,4301.0,10.0,10.0,4301.0,10.0,4301.0,10.0,10.0,10.0,10.0,10.0,10.0,4301.0,10.0,10.0,4301.0,10.0,10.0,4301.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,4301.0,10.0,10.0,4301.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0
44,4401.0,10.0,10.0,4401.0,10.0,10.0,10.0,4401.0,10.0,10.0,4401.0,10.0,4401.0,10.0,10.0,10.0,10.0,10.0,10.0,4401.0,10.0,10.0,4401.0,10.0,10.0,4401.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,4401.0,10.0,10.0,4401.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0
45,4501.0,10.0,10.0,4501.0,10.0,10.0,10.0,4501.0,10.0,10.0,4501.0,10.0,4501.0,10.0,10.0,10.0,10.0,10.0,10.0,4501.0,10.0,10.0,4501.0,10.0,10.0,4501.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,4501.0,10.0,10.0,4501.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0
46,4601.0,10.0,10.0,4601.0,10.0,10.0,10.0,4601.0,10.0,10.0,4601.0,10.0,4601.0,10.0,10.0,10.0,10.0,10.0,10.0,4601.0,10.0,10.0,4601.0,10.0,10.0,4601.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,4601.0,10.0,10.0,4601.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0
47,4701.0,10.0,10.0,4701.0,10.0,10.0,10.0,4701.0,10.0,10.0,4701.0,10.0,4701.0,10.0,10.0,10.0,10.0,10.0,10.0,4701.0,10.0,10.0,4701.0,10.0,10.0,4701.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,4701.0,10.0,10.0,4701.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0
48,4801.0,10.0,10.0,4801.0,10.0,10.0,10.0,4801.0,10.0,10.0,4801.0,10.0,4801.0,10.0,10.0,10.0,10.0,10.0,10.0,4801.0,10.0,10.0,4801.0,10.0,10.0,4801.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,4801.0,10.0,10.0,4801.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0
49,4901.0,10.0,10.0,4901.0,10.0,10.0,10.0,4901.0,10.0,10.0,4901.0,10.0,4901.0,10.0,10.0,10.0,10.0,10.0,10.0,4901.0,10.0,10.0,4901.0,10.0,10.0,4901.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,4901.0,10.0,10.0,4901.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0
