Timestep,Neuron_0,Neuron_1,Neuron_2,Neuron_3,Neuron_4,Neuron_5,Neuron_6,Neuron_7,Neuron_8,Neuron_9,Neuron_10,Neuron_11,Neuron_12,Neuron_13,Neuron_14,Neuron_15,Neuron_16,Neuron_17,Neuron_18,Neuron_19,Neuron_20,Neuron_21,Neuron_22,Neuron_23,Neuron_24,Neuron_25,Neuron_26,Neuron_27,Neuron_28,Neuron_29
0,0.5663,0.9127,0.5457,0.3901,0.0870,0.5939,0.6347,0.0265,0.3346,0.6105,0.4452,0.5170,0.2868,0.3682,0.6042,0.8384,0.2311,0.3990,0.3593,0.2449,0.1707,0.7868,0.4691,0.4755,0.2325,0.4652,0.6484,0.1170,0.3624,0.6531
1,-2.5342,-4.8419,-6.7102,0.4852,-5.1298,-70.0000,-4.8969,-7.1606,-0.0764,-4.2778,0.1659,-1.4464,-1.2494,-6.2451,-0.0814,-6.4682,0.6918,-1.5493,-7.4866,-3.6989,-6.9487,-7.3204,-3.0668,-4.2916,-2.8239,-6.9124,-1.4587,-3.7580,-0.0408,-4.6608
2,-3.7021,-6.3968,-8.3769,-70.0000,-5.2080,-70.0000,-8.8047,-14.1354,-1.2433,-8.1931,-4.0490,-0.5700,-4.7747,-6.3392,-2.9649,-8.7091,-70.0000,-8.7942,-7.5138,-7.9798,-10.8566,-8.7432,-2.6392,-6.6871,-8.4668,-5.5033,-1.3204,-11.9363,-4.8857,-10.4559
3,-7.9595,-11.1064,-11.7564,-70.0000,-10.9903,-70.0000,-11.8617,-14.3077,-1.0181,-7.3713,-10.7944,-7.6953,-6.7567,-7.6752,-2.0229,-8.2430,-70.0000,-12.5390,-5.9984,-10.5673,-18.3688,-15.6208,-4.1800,-10.1754,-9.6480,-4.0389,-6.3209,-11.8093,-4.3429,-14.8982
4,-12.3557,-9.2067,-17.6879,-70.0000,-13.8432,-70.0000,-19.5163,-19.3667,-0.6997,-11.2413,-9.6259,-8.4155,-7.0343,-12.7129,-3.7217,-13.1874,-70.0000,-15.7339,-10.8253,-10.0417,-24.6115,-14.8064,-5.7318,-11.9337,-17.6457,-7.6974,-4.9326,-14.0807,-10.5069,-18.4765
5,-15.5060,-14.3194,-24.1396,-70.0000,-19.0944,-67.9580,-21.1027,-17.6640,-6.1133,-17.8929,-16.7136,-7.8634,-13.9729,-17.8923,-8.6322,-20.6908,-70.0000,-18.2022,-17.2931,-14.3483,-25.7156,-15.3147,-4.4036,-12.4989,-17.3136,-13.8235,-11.7145,-13.8521,-13.3390,-17.1185
6,-17.4948,-12.1597,-27.9297,-66.0018,-25.0094,-68.3457,-25.7728,-16.3723,-10.5433,-18.8873,-19.4014,-12.2997,-15.8058,-24.2043,-16.2467,-24.1983,-70.0000,-16.6063,-19.8607,-16.5812,-26.2921,-13.9609,-5.8165,-11.2378,-22.2807,-18.4529,-16.2834,-21.4514,-11.2376,-20.0959
7,-19.1309,-10.8281,-31.8951,-67.6362,-28.5442,-69.9386,-30.5149,-23.5784,-15.9613,-21.5214,-26.6946,-12.7094,-21.2526,-29.6857,-15.6580,-22.6545,-66.5304,-23.9927,-27.2859,-17.0713,-28.1484,-18.6020,-7.1268,-16.1394,-21.5074,-20.7234,-18.0648,-23.6344,-16.8910,-25.1942
8,-16.7351,-11.7640,-30.6487,-70.0000,-26.5733,-70.0000,-29.0359,-22.9017,-17.7055,-20.7127,-29.0543,-15.3467,-18.9801,-30.1684,-17.8402,-24.0190,-70.0000,-26.4000,-24.4585,-18.0026,-33.5310,-25.7272,-6.4968,-23.0297,-25.9848,-18.7536,-22.8974,-29.4847,-17.0796,-25.4086
9,-15.8678,-16.5193,-31.1276,-65.0006,-32.0957,-68.2519,-35.4091,-21.3211,-15.6744,-20.1513,-30.3331,-14.4793,-20.1424,-29.4989,-18.1841,-21.4696,-67.3692,-28.1004,-30.5097,-22.5137,-35.3973,-30.6287,-8.0300,-21.1116,-26.6004,-18.1885,-26.5140,-32.9996,-18.3468,-31.3875
10,-14.4966,-15.9202,-34.3052,-70.0000,-30.2407,-66.8004,-39.3541,-22.3225,-15.2187,-18.6208,-31.8340,-21.4286,-21.4096,-33.8287,-17.7911,-22.7397,-70.0000,-33.9307,-33.1280,-28.6937,-40.1261,-28.6473,-12.7955,-27.0278,-28.8091,-16.2739,-27.7078,-33.9466,-16.5621,-30.1830
11,-19.8841,-21.4358,-37.5589,-70.0000,-31.3408,-66.3133,-40.4645,-25.2987,-15.0759,-24.6937,-34.0621,-27.4554,-20.3586,-35.5989,-22.4680,-26.7823,-70.0000,-36.6461,-32.4971,-28.4066,-44.0205,-31.6090,-13.1522,-24.9556,-28.1356,-21.5583,-28.3221,-37.5823,-20.4072,-29.8608
12,-23.4831,-28.0767,-39.1630,-70.0000,-30.6603,-69.6678,-39.9511,-22.7039,-14.3598,-29.6765,-34.8827,-29.0174,-18.8781,-38.1407,-26.4367,-32.0519,-66.5626,-43.0036,-33.0337,-27.4626,-45.2755,-30.8017,-15.2073,-29.1344,-27.3247,-21.1959,-32.1667,-39.0858,-19.6031,-27.0142
13,-26.8188,-27.0264,-43.4431,-70.0000,-36.1417,-70.0000,-39.4419,-27.3338,-20.8490,-26.9055,-36.1370,-27.4004,-21.0750,-42.5559,-27.9793,-32.2088,-69.8433,-42.5569,-38.5344,-30.2096,-51.4413,-28.6979,-18.7772,-34.8337,-33.4955,-24.7026,-32.3593,-41.9864,-23.2384,-24.3608
14,-28.5731,-27.5741,-47.9755,-70.0000,-34.6657,-68.5735,-43.2741,-29.9066,-21.8462,-27.4582,-37.2994,-33.6792,-19.7217,-39.8569,-25.7427,-33.4696,-66.1286,-42.3726,-39.6463,-28.9570,-53.3522,-34.1646,-16.4112,-35.4052,-33.9409,-22.7063,-38.1372,-40.0383,-24.7695,-30.6013
15,-30.9842,-29.5257,-46.1062,-69.6696,-37.3665,-70.0000,-45.3403,-29.0062,-26.7331,-33.5296,-43.2046,-39.0861,-19.1437,-37.9907,-24.4742,-36.0761,-66.7448,-48.2571,-43.3261,-31.5661,-53.7945,-38.8546,-16.7770,-39.6064,-35.7513,-27.2394,-38.3064,-44.1281,-31.3547,-28.4689
16,-36.5876,-27.0301,-52.0323,-66.6587,-42.7890,-70.0000,-46.8644,-34.0113,-27.9733,-39.8606,-40.2980,-45.2001,-19.2571,-35.2143,-29.8532,-38.8670,-65.8894,-49.5781,-48.8877,-37.5133,-58.1637,-39.7962,-15.6590,-37.6640,-39.6830,-32.1435,-36.5808,-46.5007,-29.8810,-31.3271
17,-38.1570,-24.4595,-53.1424,-70.0000,-44.9249,-68.2524,-49.5643,-38.5546,-27.6287,-38.8737,-41.1133,-44.9191,-19.4335,-34.7200,-35.0667,-39.5490,-70.0000,-48.8382,-45.3710,-42.4602,-60.7558,-42.2465,-14.7760,-42.7033,-44.5883,-29.2656,-33.2687,-48.3521,-33.7851,-28.8921
18,-44.7029,-26.2173,-50.9247,-70.0000,-50.1788,-68.4133,-55.3825,-41.7959,-28.0523,-38.0721,-47.1498,-42.9710,-18.9070,-37.5295,-40.8452,-44.8255,-70.0000,-49.7769,-46.5021,-41.9548,-59.0330,-43.0303,-21.9260,-45.8296,-44.5001,-30.0745,-38.1246,-45.1074,-39.3709,-33.8807
19,-45.2666,-24.6753,-52.1871,-70.0000,-54.6561,-70.0000,-54.5043,-44.3636,-32.8453,-41.8955,-45.8649,-39.4440,-25.4855,-40.9406,-41.8989,-41.9380,-70.0000,-55.3958,-48.1993,-43.7846,-63.5018,-42.5668,-28.2925,-49.0696,-41.4449,-30.2818,-43.6449,-48.9402,-42.6930,-31.6772
20,-46.8496,-24.1914,-52.5872,-66.1837,-56.3050,-66.1672,-60.0417,-50.4128,-33.4487,-38.9515,-51.7395,-41.0519,-29.4608,-41.4169,-44.7017,-41.0916,-70.0000,-58.5985,-50.5577,-49.1234,-67.5201,-43.3209,-26.9346,-50.5211,-45.0112,-29.4649,-46.3586,-48.3086,-43.2909,-35.4701
21,-47.1467,-27.7667,-50.0709,-61.5612,-55.1016,-62.1470,-58.7293,-47.2227,-33.9177,-44.2782,-49.8365,-42.5341,-28.0832,-42.4450,-48.5443,-44.7154,-70.0000,-62.2414,-48.0210,-53.3451,-70.0000,-49.5181,-33.4267,-50.8138,-43.1054,-32.3593,-45.2651,-51.4627,-48.8883,-40.1111
22,-48.0352,-28.4458,-47.9810,-61.8326,-55.8710,-65.9330,-63.1716,-43.9333,-40.1831,-40.9855,-49.8499,-42.9928,-31.0285,-43.3516,-51.5099,-49.1179,-70.0000,-58.2039,-44.9324,-52.4060,-70.0000,-51.3311,-31.0577,-50.5476,-47.3695,-34.1931,-44.4889,-50.7851,-51.4666,-36.8160
23,-52.5532,-30.1616,-54.0362,-59.4408,-56.6287,-67.2851,-64.2279,-47.2850,-43.8502,-46.8738,-54.9116,-41.1509,-35.0445,-46.1807,-54.1042,-51.5483,-70.0000,-57.3174,-46.7455,-57.8690,-66.4380,-48.4877,-33.6218,-50.2953,-47.0180,-33.2526,-47.5011,-55.5733,-48.0826,-35.7937
24,-52.3880,-30.9489,-51.0969,-57.2282,-56.3538,-67.0186,-63.3296,-51.1160,-48.6318,-50.0519,-59.9900,-46.6946,-36.5043,-47.2441,-51.3951,-54.4772,-65.7773,-54.7085,-50.8129,-54.8363,-68.4795,-50.1972,-34.8941,-54.6873,-49.9363,-39.5931,-47.6195,-57.7784,-47.1538,-42.2190
25,-54.6389,-30.1723,-54.0628,-60.0695,-59.3669,-65.6644,-61.9069,-51.2655,-47.3745,-53.3554,-56.4894,-47.5908,-36.7113,-51.0016,-56.7810,-57.4731,-64.3155,-52.6385,-51.6203,-54.3913,-70.0000,-47.4666,-39.3130,-50.9783,-55.1221,-43.0265,-48.2293,-59.0212,-53.1583,-39.8594
26,-51.4057,-35.3019,-59.7227,-64.2494,-58.5535,-70.0000,-61.6829,-48.7377,-49.4962,-52.5473,-52.4969,-47.6989,-38.6615,-47.1350,-60.1769,-61.2771,-62.9282,-55.3939,-56.7316,-53.9023,-70.0000,-51.3633,-38.0173,-48.1343,-52.7625,-43.4107,-46.0796,-54.9344,-57.3060,-44.3247
27,-54.4123,-38.1161,-64.5116,-60.1927,-56.5400,-69.3951,-65.7951,-49.5919,-49.5374,-57.9769,-49.0644,-46.1870,-43.1946,-46.0155,-64.5332,-64.1912,-60.8687,-56.2675,-53.7632,-52.0578,-70.0000,-55.7605,-40.2116,-49.9112,-49.3227,-41.2535,-44.5341,-50.8565,-53.1036,-43.2453
28,-50.4579,-35.8330,-66.5556,-57.3899,-59.9586,-70.0000,-62.0156,-46.1795,-49.4525,-59.4077,-46.8003,-49.2335,-49.5260,-47.7143,-61.6312,-66.4527,-57.2484,-56.7274,-54.4916,-51.0574,-70.0000,-58.8697,-37.9468,-55.2776,-47.2929,-45.3722,-48.2445,-56.3289,-57.6140,-39.7201
29,-56.3033,-35.0089,-63.1344,-62.1993,-55.6347,-69.1363,-64.1227,-51.1173,-48.8264,-63.8536,-50.3854,-48.0403,-52.4498,-51.0742,-61.4670,-64.4538,-55.4067,-54.0700,-58.4784,-53.2574,-70.0000,-61.9793,-42.3910,-57.3339,-52.0391,-48.9796,-47.1071,-61.2091,-56.9754,-45.9715
30,-59.7519,-41.1743,-66.1577,-64.0790,-61.2195,-70.0000,-66.1532,-47.3296,-50.7984,-66.1190,-55.4657,-46.6175,-52.5186,-52.6745,-64.6425,-64.2290,-56.1239,-51.9354,-56.4671,-53.3272,-70.0000,-64.5907,-41.2922,-54.7894,-49.6122,-48.7801,-44.5355,-56.7787,-53.6464,-46.8743
31,-55.5900,-40.4156,-63.9624,-69.2344,-61.3234,-68.6211,-70.0000,-46.4644,-46.9647,-68.2958,-57.1610,-52.7027,-51.9128,-52.8685,-62.3023,-66.1758,-55.0007,-49.3292,-56.8326,-50.5325,-70.0000,-64.1718,-42.4548,-54.2890,-52.6064,-53.4093,-49.9496,-53.8173,-50.2024,-50.2732
32,-53.0698,-42.7934,-63.2456,-70.0000,-61.6224,-64.5167,-70.0000,-51.9308,-51.7844,-70.0000,-61.3172,-56.1031,-54.4096,-55.1992,-59.3550,-70.0000,-54.0416,-53.1191,-61.4415,-48.7861,-65.8975,-62.1841,-47.3122,-54.7469,-53.2481,-56.2784,-54.0070,-53.1104,-54.6371,-55.1633
33,-49.6791,-42.3217,-59.2051,-66.5046,-63.6123,-60.0587,-65.4034,-49.9019,-55.5759,-66.7148,-61.3324,-57.0701,-51.0959,-57.4021,-56.8894,-66.6538,-50.0616,-58.6630,-64.3720,-54.2166,-69.1469,-58.3567,-46.2822,-52.9345,-50.1392,-58.6061,-51.7302,-50.7294,-50.9150,-52.6238
34,-54.3496,-47.0003,-54.8441,-62.2853,-61.8674,-63.1401,-66.8772,-54.2129,-59.6204,-68.6239,-62.2010,-58.1926,-50.6220,-53.0908,-56.4645,-67.0846,-48.5903,-55.2188,-69.1083,-54.0746,-70.0000,-56.7903,-50.2798,-49.8251,-46.3870,-61.3087,-55.5535,-47.7786,-49.1984,-55.9313
35,-54.3349,-49.5346,-55.0570,-58.8693,-62.4120,-58.5415,-63.1496,-55.3711,-61.5322,-70.0000,-65.8449,-59.9776,-49.8558,-57.1587,-59.4603,-67.4157,-45.2977,-53.6605,-66.7207,-54.3474,-67.0815,-56.5039,-46.8647,-51.5554,-48.5494,-61.8661,-60.9700,-50.4416,-52.2835,-53.4640
36,-59.6102,-46.7088,-57.8007,-55.6500,-60.1159,-64.0556,-65.1528,-54.1421,-62.3170,-70.0000,-61.9249,-56.3506,-51.3084,-54.2545,-59.0919,-70.0000,-46.1969,-52.9021,-70.0000,-53.1636,-67.6385,-54.8276,-47.3713,-52.6950,-52.2215,-64.5612,-63.1245,-49.9972,-54.9176,-54.4517
37,-61.7902,-44.6825,-58.1727,-55.4294,-63.5052,-66.5065,-60.5381,-52.9980,-59.9272,-66.6050,-59.8261,-54.3483,-52.8880,-58.7004,-55.4320,-70.0000,-46.9806,-51.7336,-67.8776,-52.4420,-66.1389,-53.8824,-45.9431,-58.0980,-48.7913,-63.5447,-60.9473,-47.2701,-59.1453,-51.9292
38,-66.6805,-42.9706,-56.4980,-53.3944,-65.6120,-70.0000,-58.8931,-51.5238,-64.9387,-66.9559,-63.9960,-54.5034,-48.8683,-61.3400,-56.6678,-70.0000,-51.6934,-56.7205,-69.4419,-54.1429,-63.0101,-52.0755,-43.9291,-62.9465,-51.3904,-65.1637,-62.1569,-44.6186,-62.9037,-49.0177
39,-67.9611,-48.7344,-52.6127,-52.1957,-64.0151,-70.0000,-61.6540,-51.8174,-64.7483,-62.4046,-65.3682,-51.7986,-48.9980,-65.6901,-56.8626,-65.7091,-48.3308,-55.8832,-70.0000,-50.6322,-65.0038,-52.1281,-43.4935,-63.8573,-50.0673,-65.3738,-63.1539,-50.8265,-62.9330,-52.3944
40,-65.3520,-48.8950,-55.9785,-56.7079,-61.5740,-69.4646,-60.6435,-53.6195,-68.4030,-67.5354,-65.9629,-55.0601,-52.3473,-66.0827,-59.7175,-68.0863,-46.4576,-53.8169,-66.4992,-48.7372,-66.9793,-57.0410,-42.6175,-61.8382,-53.1641,-66.8195,-64.2161,-53.5140,-60.1495,-54.1861
41,-66.5917,-45.4489,-54.0972,-54.7194,-57.2389,-69.2281,-60.1357,-53.5957,-70.0000,-70.0000,-67.9894,-58.7688,-48.5917,-62.8486,-60.6321,-66.3849,-50.8129,-54.5732,-62.4107,-53.1570,-62.8140,-56.5707,-40.7097,-61.9215,-58.8104,-68.6587,-63.2721,-57.4432,-58.8082,-56.1952
42,-63.1566,-50.4950,-55.0181,-58.9502,-55.3052,-66.0664,-56.9421,-55.3322,-70.0000,-70.0000,-65.7268,-57.4244,-54.6062,-67.0408,-64.4108,-65.0334,-48.0134,-59.4700,-65.1265,-57.8695,-58.8850,-58.5477,-40.1997,-63.9415,-58.4129,-64.7648,-66.6447,-61.7012,-59.3494,-61.4094
43,-64.6646,-50.6968,-54.2853,-58.4745,-57.9600,-68.3237,-53.5635,-52.8615,-70.0000,-70.0000,-70.0000,-59.6110,-58.8871,-68.4333,-63.3363,-62.5028,-45.1811,-56.8983,-65.6115,-58.4660,-59.7482,-60.0932,-43.1102,-59.6524,-59.1601,-60.9433,-62.5611,-65.6929,-64.7927,-60.8588
44,-63.2501,-50.1757,-50.4236,-63.6713,-62.5420,-68.7185,-56.3526,-54.6154,-68.5604,-65.9413,-70.0000,-57.1851,-63.0105,-70.0000,-63.0589,-58.7486,-46.1790,-56.8833,-61.7325,-61.9291,-61.4282,-56.9835,-46.8458,-62.0278,-56.0674,-63.3938,-62.0335,-61.6647,-67.1021,-57.1523
45,-61.4719,-55.1039,-47.9568,-59.6302,-65.9649,-68.4447,-55.7092,-60.2588,-69.8524,-65.0163,-68.0410,-53.7137,-67.2638,-67.1017,-60.9075,-55.2694,-46.2784,-58.8193,-58.1459,-66.2535,-61.5084,-58.3513,-44.8491,-61.0418,-60.4219,-63.2708,-64.2860,-62.7713,-63.8787,-53.6997
46,-64.3272,-57.4095,-44.8911,-60.5143,-67.5041,-67.4933,-57.0604,-65.4476,-70.0000,-61.1853,-67.2010,-50.3400,-66.8984,-63.6444,-60.4173,-60.5241,-43.1420,-56.0114,-63.2983,-67.3990,-57.6271,-55.1843,-47.4248,-65.2121,-58.7438,-60.7081,-67.9470,-59.1247,-68.0620,-57.4073
47,-64.4479,-60.5002,-42.1141,-59.0938,-67.0582,-68.5724,-53.4222,-64.6205,-68.1840,-57.0198,-70.0000,-52.1389,-63.2948,-64.4673,-58.7817,-57.3756,-42.7995,-55.1399,-63.9057,-70.0000,-62.8440,-56.1730,-50.3316,-62.5043,-60.1237,-59.1575,-68.2319,-55.0056,-70.0000,-53.8660
48,-61.2651,-58.7535,-46.5462,-63.6716,-70.0000,-70.0000,-56.6825,-63.0181,-70.0000,-56.4049,-65.5298,-48.6271,-63.1090,-62.1743,-61.0508,-56.6120,-45.3584,-54.9823,-60.2019,-70.0000,-63.3263,-57.7679,-53.8852,-63.1068,-63.5174,-61.3076,-65.0376,-59.8619,-70.0000,-56.9077
49,-66.2358,-56.1280,-43.3879,-62.7605,-70.0000,-70.0000,-56.3557,-58.6376,-65.3978,-57.9139,-64.3796,-47.8564,-63.7223,-63.5874,-60.8049,-53.2401,-49.1882,-59.7007,-59.0947,-70.0000,-63.4898,-53.3814,-56.8573,-64.3886,-64.4757,-56.8226,-69.5571,-60.6399,-70.0000,-57.0358
